nombre;id
Aditya Chopra;1
Akira Kurosawa;2
Alfred Hitchcock;3
Bang Woo-ri;4
Billy Wilder;5
Bob Persichetti;6
Bong Joon-ho;7
Charlie Chaplin;8
Charlie Mackesy;9
Christina Sotta;10
Christopher Nolan;11
Damien Chazelle;12
David Fincher;13
Elem Klimov;14
Ernesto Contreras;15
Ernst Lubitsch;16
Ettore Scola;17
Fernando Meirelles;18
Francis Ford Coppola;19
Frank Capra;20
Frank Darabont;21
Giuseppe Tornatore;22
Guel Arraes;23
Haruo Sotozaki;24
Hayao Miyazaki;25
Hikaru Yamaguchi;26
Hiroshi Teshigahara;27
Irvin Kershner;28
Isao Takahata;29
Jacques Becker;30
Joe Russo;31
Joel Crawford;32
Jonathan Demme;33
Jorge Ulloa;34
Justin Baldoni;35
Katsuichi Nakayama;36
Kazuya Tsurumaki;37
Kemp Powers;38
Kotaro Tamura;39
Kou Matsuo;40
Lee Joon-ik;41
Luc Besson;42
Makoto Shinkai;43
Martin Scorsese;44
Masaki Kobayashi;45
Masato Jimbo;46
Mehmet Ada Öztekin;47
Miloš Forman;48
Mitja Okorn;49
MTJJ;50
Naoko Yamada;51
Olivier Nakache;52
Paola Cortellesi;53
Park Chan-wook;54
Paul Dugdale;55
Peter Farrelly;56
Peter Jackson;57
Peter Weir;58
Quentin Tarantino;59
Rob Minkoff;60
Robert Zemeckis;61
Roberto Benigni;62
Roman Polanski;63
Sergio Leone;64
Sergio Pablos;65
Shinichiro Ushijima;66
Shouko Nakamura;67
Sidney Lumet;68
Souichi Masui;69
Stanley Kubrick;70
Steven Spielberg;71
Taichi Ishidate;72
Takahiro Omori;73
Tony Kaye;74
Tosca Musk;75
Xavier Dolan;76;